"","","","",""
"Articulo","Detalle","Cantidad","C.Unitario","C.Total"
"","","","",""
"005","CHANDON EXTRA BRUT","4.00","17,700.00","70,800.00"
"018","SPEED LATA","1,013.00","1,420.83","1,439,300.79"
"025","FERNET BRANCA","0.78","13,450.00","10,491.00"
"029","ABSOLUT MANGO","3.00","23,400.00","70,200.00"
"038","SKY CLASICO","25.18","7,450.00","187,591.00"
"040","SKY RASPBERRY","83.60","8,250.00","689,700.00"
"057","TEQUILA JOSE CUERVO","0.25","35,375.00","8,843.75"
"151","COCA COLA LATA","18.00","1,520.00","27,360.00"
"154","SPRITE LATA","12.00","1,520.00","18,240.00"
"160","CEPITA NARANJA","14.00","1,015.07","14,210.98"
"161","CEPITA DURAZNO","16.00","1,015.07","16,241.12"
"198","AGUA SIN GAS","18.00","935.95","16,847.10"
"305","VASO AMERICANO 400ML","1,005.00","154.87","155,644.35"
"308","SKY COSMIC","100.96","8,250.00","832,920.00"
"319","CERVEZA MILLER","6.00","2,585.84","15,515.04"
"","","","","3,573,905.13"
